model_name,n,sdsize,sddepth,att,maa,mintrap
n40_30.bnet,40,3,1,2,0,2
n40_31.bnet,40,2,1,1,0,1
n40_33.bnet,40,3,1,2,0,2
n40_32.bnet,40,1,0,1,0,1
n40_35.bnet,40,3,1,2,0,2
n40_34.bnet,40,18,3,6,0,6
n40_36.bnet,40,2,1,1,0,1
n40_38.bnet,40,1,0,1,0,1
n40_37.bnet,40,10,3,5,0,5
n40_4.bnet,40,3,1,2,0,2
n40_39.bnet,40,7,2,4,0,4
n40_41.bnet,40,1,0,1,0,1
n40_40.bnet,40,3,1,2,0,2
n40_42.bnet,40,1,0,1,0,1
n40_43.bnet,40,4,3,1,0,1
n40_45.bnet,40,1,0,1,0,1
n40_44.bnet,40,3,1,2,0,2
n40_47.bnet,40,1,0,1,0,1
n40_46.bnet,40,5,2,3,0,3
n40_48.bnet,40,1,0,1,0,1
n40_49.bnet,40,4,2,2,0,2
n40_50.bnet,40,2,1,1,0,1
n320_98.bnet,320,7,2,4,0,4
n40_5.bnet,40,3,1,2,0,2
n40_51.bnet,40,3,1,2,0,2
n40_53.bnet,40,6,2,3,0,3
n40_52.bnet,40,8,3,3,0,3
n40_54.bnet,40,2,1,1,0,1
n40_55.bnet,40,1,0,1,0,1
n40_56.bnet,40,11,3,3,0,3
n40_58.bnet,40,3,1,2,0,2
n40_57.bnet,40,1,0,1,0,1
n40_59.bnet,40,7,3,2,0,2
n40_61.bnet,40,8,3,2,0,2
n40_6.bnet,40,7,2,4,0,4
n40_60.bnet,40,11,4,2,0,2
n40_63.bnet,40,3,1,2,0,2
n40_64.bnet,40,4,2,1,0,1
n40_62.bnet,40,27,3,8,0,8
n40_66.bnet,40,2,1,1,0,1
n40_65.bnet,40,3,2,1,0,1
n40_69.bnet,40,3,1,2,0,2
n40_67.bnet,40,3,1,2,0,2
n40_68.bnet,40,9,4,2,0,2
n320_86.bnet,320,21,3,6,0,6
n40_70.bnet,40,3,1,2,0,2
n40_72.bnet,40,2,1,1,0,1
n40_7.bnet,40,2,1,1,0,1
n40_71.bnet,40,9,2,4,0,4
n40_73.bnet,40,1,0,1,0,1
n40_74.bnet,40,3,2,1,0,1
n40_75.bnet,40,12,4,3,0,3
n40_76.bnet,40,6,2,3,0,3
n40_79.bnet,40,2,1,1,0,1
n40_78.bnet,40,3,1,2,0,2
n40_77.bnet,40,3,1,2,0,2
n40_8.bnet,40,9,2,4,0,4
n40_83.bnet,40,1,0,1,0,1
n40_82.bnet,40,3,1,2,0,2
n40_81.bnet,40,3,1,2,0,2
n40_80.bnet,40,9,2,4,0,4
n40_84.bnet,40,3,1,2,0,2
n40_86.bnet,40,1,0,1,0,1
n40_85.bnet,40,1,0,1,0,1
n40_87.bnet,40,7,3,2,0,2
n40_89.bnet,40,1,0,1,0,1
n40_9.bnet,40,2,1,1,0,1
n40_88.bnet,40,6,3,1,0,1
